requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,-1,dx8vm-1747796026900-165b80bebf31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,[API] Fetching linked groups for 865f2c20-5181-47e6-9018-80eae9f6b933,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,200,dx8vm-1747796026900-165b80bebf31,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,MISS,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,-1,m87kv-1747795966884-95a3acba4b34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,[API] Fetching linked groups for 865f2c20-5181-47e6-9018-80eae9f6b933,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,200,m87kv-1747795966884-95a3acba4b34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,MISS,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,-1,6cqn8-1747795906888-10e23fdd5d05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,[API] Fetching linked groups for 865f2c20-5181-47e6-9018-80eae9f6b933,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,200,6cqn8-1747795906888-10e23fdd5d05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,MISS,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,-1,5pll7-1747795846886-db19504fae78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,[API] Fetching linked groups for 865f2c20-5181-47e6-9018-80eae9f6b933,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,200,5pll7-1747795846886-db19504fae78,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,MISS,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,-1,qlgsf-1747795786705-86bd541e27ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,[API] Fetching linked groups for 865f2c20-5181-47e6-9018-80eae9f6b933,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
unifyplan.vercel.app/api/planning-room/865f2c20-5181-47e6-9018-80eae9f6b933/linked-groups,GET,groups=%5B%7B%22id%22%3A%22865f2c20-5181-47e6-9018-80eae9f6b933%22%2C%22name%22%3A%22To%20Be%20Scheduled%22%2C%22cards%22%3A%5B%7B%22id%22%3A%220bfd1a14-5361-4d6f-b527-04dfb6aee2dd%22%2C%22type%22%3A%22where%22%2C%22content%22%3A%22Ottawa%22%2C%22lat%22%3A,200,qlgsf-1747795786705-86bd541e27ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",info,MISS,edge-function,/api/planning-room/[groupId]/linked-groups,unifyplan.vercel.app,unifyplan-i13yx4pk3-daniels-projects-ba815d61.vercel.app,dpl_5A9QJLVC9Bn7A2rDeQbWNxMYwABj,-1,,-1,-1,,prj_hSXruM6f9V5oXLSLP6A0f1tqANC3,,
